0,uplift_name,AUS001
1,AUSANT_1,200
2,AUSANT_2,300
3,AUSANT_3,300
4,AUSANT_4,500
5,Bight_basins_1,-1500
6,Bight_basins_2,-1500
7,Bight_basins_3,-1500
8,Bight_basins_4,-1500
9,Bight_basins_5,-1500
10,Bight_basins_6,-250
11,Bight_basins_7,-1500
11,Collision_1,2000
13,Collision_2,2000
14,Collision_3,2000
15,Collision_4,2000
16,Collision_5,2000
17,Collision_6,2000
18,Collision_7,2000
19,Collision_8,2000
20,Collision_9,2000
21,Plateaux_1,-2000
22,Plateaux_2,-2000
23,Rifting_1,-4000
24,Rifting_2,-4000
25,Rifting_3,-4000
26,Rifting_4,-4000
27,Rifting_5,-4000
28,Rifting_6,-4000
29,Rifting_7,-4000
30,Rifting_8,-6000
31,Tectonic_uplift_PNG_1,4000
32,Tectonic_uplift_PNG_2,4000
33,Tectonic_uplift_PNG_3,5000
34,Tectonic_uplift_PNG_4,6000
35,Tectonic_uplift_PNG_5,1000
36,Tectonic_uplift_eastern_highlands_1,400
37,Tectonic_uplift_eastern_highlands_2,2500
38,Tectonic_uplift_flinders_1,300
39,Tectonic_uplift_otway_1,210
40,Zealandia_Z3_1,30000
